

Sign up
Forgot your password?
Remember me

    About
    Corpus
    Dictionary
    Auxiliaries

Lemma reverse dictionary

ä

by

records

17 093 records were found.
No 	lemma 	part of speech
473 	kahesanz’kümnenz’ 	NUM (ordinal)
474 	ühesanz’kümnenz’ 	NUM
475 	videnz’kümnenz’ 	NUM (ordinal)
476 	kudenz’kümnenz’ 	NUM (ordinal)
477 	seičemenz’kümnenz’ 	NUM (ordinal)
478 	kahtenz’kümnenz’ 	NUM
479 	nellänz’||tošt||kümnenz’ 	NUM (ordinal)
480 	koumanz’toštkümnenz’ 	NUM (ordinal)
481 	kahesanz’toštkümn 	NUM
482 	videnz’toštkümnenz’ 	NUM (ordinal)
483 	kudenz’toštkümn 	NUM (ordinal)
484 	seičemenz’toštkümn 	NUM (ordinal)
485 	kahtenz’toštkümn 	NUM
486 	ühtenz’toštkümnenz’ 	NUM
487 	kahtenz’ 	NUM (ordinal)
488 	onz’ 	NOUN
489 	čunz’ 	NOUN
490 	künz’ 	NOUN
491 	kondjankünz’ 	NOUN
492 	habukankünz’ 	NOUN
493 	voz’ 	NOUN
494 	näl’g||voz’ 	NOUN
495 	sömänäl’gvoz’ 	NOUN
496 	augvoz’ 	NOUN
497 	marj||voz’ 	NOUN
498 	lopvoz’ 	NOUN
499 	büdžetvoz’ 	NOUN
500 	openduzvoz’ 	NOUN
501 	painuz||voz’ 	NOUN
502 	arz’ 	NOUN
503 	parz’ 	NOUN
504 	ma||parz’ 	NOUN
505 	sport||parz’ 	NOUN (singularia tantum)
506 	aluzparz’ 	NOUN
507 	varz’ 	NOUN
508 	andivarz’ 	NOUN
509 	käzivarz’ 	NOUN
510 	burakvarz’ 	NOUN
511 	harjanvarz’ 	NOUN
512 	luzikan||varz’ 	NOUN
513 	bagranvarz’ 	NOUN
514 	härkinvarz’ 	NOUN
515 	labidon||varz’ 	NOUN
516 	haravonvarz’ 	NOUN
517 	kunutvarz’ 	NOUN
518 	kirvezvarz’ 	NOUN
519 	-verz’ 	NOUN
520 	neceverz’ 	PRON
521 	severz’ 	PRON (singularia tantum)
522 	regiverz’ 	NOUN (singularia tantum)
523 	kuverz’ 	PRON (interrogative)
524 	nikuverz’ 	PRON
525 	orz’ 	NOUN
526 	kananorz’ 	NOUN
527 	uz’ 	ADJ
528 	gol’l’uz’ 	NOUN (singularia tantum)
529 	täuz’ 	ADJ
530 	tetabuz’ 	NOUN (singularia tantum)
531 	enambuz’ 	NOUN (singularia tantum)
532 	vanhembuz’ 	NOUN (singularia tantum)
533 	parembuz’ 	NOUN (singularia tantum)
534 	nägubuz’ 	NOUN (singularia tantum)
535 	hubuz’ 	NOUN
536 	kulubuz’ 	NOUN (singularia tantum)
537 	ühtejiččuz’ 	NOUN
538 	erazvuiččuz’ 	NOUN
539 	äkkičuz’ 	NOUN
540 	kehkerladuz’ 	NOUN
541 	käbeduz’ 	NOUN (singularia tantum)
542 	libeduz’ 	NOUN (singularia tantum)
543 	tärgeduz’ 	NOUN (singularia tantum)
544 	jügeduz’ 	NOUN
545 	leheduz’ 	NOUN (singularia tantum)
546 	reheduz’ 	NOUN (singularia tantum)
547 	tiheduz’ 	NOUN (singularia tantum)
548 	rahvahan||tiheduz’ 	NOUN (singularia tantum)
549 	sitkeduz’ 	NOUN (singularia tantum)
550 	notkeduz’ 	NOUN (singularia tantum)
551 	pehmeduz’ 	NOUN (singularia tantum)
552 	pimeduz’ 	NOUN (singularia tantum)
553 	komeduz’ 	NOUN (singularia tantum)
554 	varmeduz’ 	NOUN (singularia tantum)
555 	äreduz’ 	NOUN
556 	käreduz’ 	NOUN (singularia tantum)
557 	mureduz’ 	NOUN (singularia tantum)
558 	leveduz’ 	NOUN (singularia tantum)
559 	kämnenleveduz’ 	NOUN (singularia tantum)
560 	noiduz’ 	NOUN (singularia tantum)
561 	piduz’ 	NOUN
562 	aldonpiduz’ 	NOUN (singularia tantum)
563 	onduz’ 	NOUN
564 	valdkunduz’ 	NOUN
565 	toduz’ 	NOUN
566 	lühüduz’ 	NOUN (singularia tantum)
567 	vajaguz’ 	NOUN (singularia tantum)
568 	vigavajaguz’ 	NOUN
569 	büdžetvajaguz’ 	NOUN (singularia tantum)
570 	iguz’ 	NOUN (singularia tantum)
571 	piguz’ 	NOUN
572 	velguz’ 	NOUN
573 	maksand||velguz’ 	NOUN (singularia tantum)
574 	arguz’ 	NOUN (singularia tantum)
575 	märguz’ 	NOUN (singularia tantum)
576 	il’manmärguz’ 	NOUN (singularia tantum)
577 	särguz’ 	NOUN
578 	jüguz’ 	NOUN
579 	sügüz’ 	NOUN
580 	augsügüz’ 	NOUN
581 	möh||sügüz’ 	NOUN
